Index,Authors,Article Title,Publication Year,Abstract,Suitability,Confidence,Keyword
16,Advances in the understanding of nutrient dynamics and management in UK agriculture et al.,Dungait,2012,"Current research on macronutrient cycling in UK agricultural systems aims to optimise soil and nutrient management for improved agricultural production and minimise effects on the environment and provision of ecosystem services. Nutrient use inefficiencies can cause environmental pollution through the release of greenhouse gases into the atmosphere and of soluble and particulate forms of N, P and carbon (C) in leachate and run-off into watercourses. Improving nutrient use efficiencies in agriculture calls for the development of sustainable nutrient management strategies: more efficient use of mineral fertilisers, increased recovery and recycling of waste nutrients, and, better exploitation of the substantial inorganic and organic reserves of nutrients in the soil. Long-term field experimentation in the UK has provided key knowledge of the main nutrient transformations in agricultural soils. Emerging analytical technologies, especially stable isotope labelling, that better characterise macronutrient forms and bioavailability and improve the quantification of the complex relationships between the macronutrients in soils at the molecular scale, are augmenting this knowledge by revealing the underlying processes. The challenge for the future is to determine the relationships between the dynamics of N, P and C across scales, which will require both new modelling approaches and integrated approaches to macronutrient cycling. (c) 2012 Elsevier B.V. All rights reserved.",maybe,0.75,nutrient management
17,Managing environmental contamination through phytoremediation by invasive plants: A review et al.,Prabakaran,2019,"Environmental degradation by contaminants is a serious concern in the developing world. The remediation strategies to overcome the problem of environmental degradation should be assorted for its ecological impacts. Phytoremediation is a green technology for the removal of pollutants from various environmental compartments by employing green plants. An ideal phytoremediation plant candidate should possess some characteristic features such as exhibiting stronger growth traits with high biomass, unpalatable nature, exuberant root system, hyper accumulation of target contaminants accompanied with stress tolerance attributes. The growth of natural vegetation is prevented by the barren and uncongenial conditions prevailing in the contaminated sites, but however invasive plants are capable of establishing themselves on those sites due to their opportunistic incursive nature. Since, it is hard to eradicate an invasive species once after their establishment in a new habitat or ecosystem, they can possibly be controlled by sustainable management through the way of exploiting them in contaminant remediation, thus phytoremediation. Therefore, it is of foremost requisite to determine the ability of invasive species in offering various ecologically viable services including contaminant remediation through scientific exploration. In this review, the implications of using invasive plants in contaminant remediation with accompanying challenges and scopes involved are discussed with the available volume of literatures in contaminant remediation using plants, especially the invasive plants.",maybe,0.75,phytoremediation
19,Leverage Points for Governing Agricultural Soils: A Review of Empirical Studies of European Farmers' Decision-Making et al.,Bartkowski,2018,"What drives farmers' decision-making? To inform effective, efficient, and legitimate governance of agricultural soils, it is important to understand the behaviour of those who manage the fields. This article contributes to the assessment and development of innovative soil governance instruments by outlining a comprehensive understanding of the determinants of farmers' behaviour and decision-making. Our analysis synthesises empirical literature from different disciplines spanning the last four decades on various farm-level decision-making problems. Based on a conceptual framework that links objective characteristics of the farm and the farmer with behavioural characteristics, social-institutional environment, economic constraints, and decision characteristics, empirical findings from 87 European studies are presented and discussed. We point out that economic constraints and incentives are very important, but that other factors also have significant effects, in particular pro-environmental attitudes, goodness of fit, and past experience. Conversely, we find mixed results for demographic factors and symbolic capital. A number of potentially highly relevant yet understudied factors for soil governance are identified, including adoption of technologies, advisory services, bureaucratic load, risk aversion and social capital, social norms, and peer orientation. Our results emphasise the importance of a broad behavioural perspective to improve the efficiency, effectiveness, and legitimacy of soil governance.",maybe,0.65,farmer decision-making
21,Characterising and linking X-ray CT derived macroporosity parameters to infiltration in soils with contrasting structures et al.,Mueller,2018,"Soils deliver the regulating ecosystem services of water infiltration and distribution, which can be controlled by macropores. Parameterizing macropore hydraulic properties is challenging due to the lack of direct measurement methods. With tension-disc infiltrometry hydraulic properties near saturation can be measured. Differentiating between hydrologically active and non-active pores, at a given water potential, indirectly assesses macropore continuity. Water flow through macropores is controlled by macropore size distribution, tortuosity, and connectivity, which can be directly derived by X-ray computed tomography (CT). Our objective was to parameterize macropore hydraulic properties based on the imaged macropore network of three horizons of an Andosol and a Gleysol. Hydraulic conductivity K-unsat was derived from infiltration measurements. Soil cores from the infiltration areas were scanned with X-ray CT. K-unsat was significantly higher in the Andosol than in the Gleysol at all water potentials, and decreased significantly with depth in both soils. The in situ measurements guided the definition of new macroporosity parameters from the X-ray CT reconstructions. For the Andosol, K-unsat was best predicted using the imaged-limited macroporosity. A low total macroporosity, coupled with a high macropore density, indicated the abundance of smaller macropores, leading to homogeneous matrix flux. Imaged macropores were not well connected. In contrast, the Gleysol had a bi-modal macropore system with few very large, but well-connected macropores. K-unsat was best predicted using the imaged macroporosity consisting only of macropores with diameters between 0.75 and 3 mm. Our research demonstrates that linking traditional soil physical measurements with soil-visualization techniques has a huge potential to improve parameterizing macropore hydraulic properties. The relevance of the relationships found in this study for larger scales and other soil types still needs to be tested, for example by a multi-scale investigation including a much wider range of different soils.",maybe,0.65,macropore hydraulic properties
23,"Land-Use Change and its Effects in Charchan Oasis, Xinjiang, China et al.",Abulizi,2017,"Changes in land use and land cover are known to impact ecosystem services and functions. In this study, land use characteristics were combined with global and China-specific ecosystem coefficients to quantify land-use and ecosystem service changes in Charchan Oasis. Results indicated that: (i) the total values of ecosystem services in Charchan Oasis were increased 84M$ from 1972 to 2013; (ii) the aggregated ecosystem service values for water bodies, grasslands, forest lands, and barren lands were 9890% of the total value for all land types; (iii) waste treatment, soil formation, biodiversity protection, and water supply were ecological functions with the highest service values, contributing approximately 65% of the total service values; and (iv) ecosystem service values estimated in this study were inelastic with respect to the value coefficients, therefore, the estimation results were believable. Copyright (c) 2016 John Wiley & Sons, Ltd.",maybe,0.65,ecosystem services
28,Current progress in treatment techniques of triclosan from wastewater: A review et al.,Luo,2019,"Triclosan (TCS) has been frequently detected in water environment, causing potential threats to the aquatic ecosystem and human health. Although TCS contamination has attracted increasing attentions, its prevention and treatment are still crucial projects for safeguarding the environment. This review covers the most recent studies towards the latest development of treatment techniques of TCS from wastewater. Various techniques for TCS removal were introduced, evaluated and compared, including oxidation (e.g., chlorination, ozonation, Fenton processes, photolysis/photocatalysis, and electrochemical oxidation), reduction-oxidation, biodegradation, adsorption, and combined processes. The oxidation techniques are always efficient for TCS removal, but some disadvantages of them still exist, such as formation of halogenated species (chlorination), relatively low mineralization degree (ozonation), and relatively high energy consumption (electrochemical oxidation). TCS biodegradation needs pre-treatment steps to degrade the toxic pollutants into less toxic by-products. Adsorption has satisfactory TCS removal efficiencies ((>)80%), but the solid residue needs further treatment/disposal upon the end of service life. The combined processes seem to be the most promising technique for TCS removal in wastewater owing to their potential to overcome several intrinsic limitations of each single process. This review provides insight into the control of TCS and other organic pollutants in wastewater. (C) 2019 Elsevier B.V. All rights reserved.",maybe,0.65,wastewater treatment
29,Interannual Change Detection of Mediterranean Seagrasses Using RapidEye Image Time Series et al.,Traganos,2018,"Recent research studies have highlighted the decrease in the coverage of Mediterranean seagrasses due to mainly anthropogenic activities. The lack of data on the distribution of these significant aquatic plants complicates the quantification of their decreasing tendency. While Mediterranean seagrasses are declining, satellite remote sensing technology is growing at an unprecedented pace, resulting in a wealth of spaceborne image time series. Here, we exploit recent advances in high spatial resolution sensors and machine learning to study Mediterranean seagrasses. We process a multispectral RapidEye time series between 2011 and 2016 to detect interannual seagrass dynamics in 888 submerged hectares of the Thermaikos Gulf, NW Aegean Sea, Greece (eastern Mediterranean Sea). We assess the extent change of two Mediterranean seagrass species, the dominant Posidonia oceanica and Cymodocea nodosa, following atmospheric and analytical water column correction, as well as machine learning classification, using Random Forests, of the RapidEye time series. Prior corrections are necessary to untangle the initially weak signal of the submerged seagrass habitats from satellite imagery. The central results of this study show that P. oceanica seagrass area has declined by 4.1%, with a trend of -11.2 ha/yr, while C. nodosa seagrass area has increased by 17.7% with a trend of + 18 ha/yr throughout the 5-year study period. Trends of change in spatial distribution of seagrasses in the Thermaikos Gulf site are in line with reported trends in the Mediterranean. Our presented methodology could be a time-and cost-effective method toward the quantitative ecological assessment of seagrass dynamics elsewhere in the future. From small meadows to whole coastlines, knowledge of aquatic plant dynamics could resolve decline or growth trends and accurately highlight key units for future restoration, management, and conservation.",maybe,0.65,seagrass dynamics
30,A review of preferential water flow in soil science et al.,Zhang,2018,"A better understanding of preferential water flow is important because water-related crises, i.e., water scarcity and security, are strongly associated with water retention rates in different landscapes. This review aims to evaluate significant advances in the main themes of preferential water flow to establish the inconsistent roles of preferential water flow in eco-hydrology and suggest promising areas for future work. Results showed that preferential water flow studies have made significant advances in our understanding of certain parameters functioning at multiple scales but that most studies focus on preferential water flow in the vadose zone, whereas few studies on the soil surface. Preferential water flow can have a positive effect on averting water crises, such as when it affects surface runoff soil erosion, soil formation as ecosystem services, nutrient cycling in root zone, and overall water regulation of the water cycle. Conversely, preferential water flow can have a negative effect on eco-hydrological issues via slope stability, gully erosion, geological disaster, waste treatment, water supply in root zone, and food production. Our review concludes that more information is required on preferential water flow before we can assess its role in mitigating water-related crisis events.",maybe,0.65,preferential water flow
32,Prospects for Improving Gravity-Fed Surface Irrigation Systems in Mediterranean European Contexts et al.,Masseroni,2017,"Traditionally, most irrigation practices in Southern Europe have been based on gravity-fed surface irrigation systems. Currently, these systems remain a relevant typology in the European Union (EU) member states of the Mediterranean areas, where it is often the only sustainable method for farmers due to the small size of agricultural holdings, their reduced capacity and readiness to invest and the low ratio between yield profits and irrigation costs. In the last several years, in response to European and national directives, surface irrigation has garnered increasing attention at the political and bureaucratic levels due to frequent criticisms of its postulated low efficiency and high water wastage. However, these systems commonly provide a number of ecosystem services and nature-based solutions that increase the positive externalities in different rural socio-ecological contexts and often have the potential to extend these services and provide solutions that are compatible with economical sustainability. This study aims to discuss the prospects for new practices and for the rehabilitation and modernization of the gravity-fed surface irrigation systems in EU Mediterranean areas to enhance water efficiency, thus gaining both economic advantages and environmental benefits. The difficulties, stimuli for improvements and peculiarities of the irrigation water management of four rural environments located in Italy, Spain and Portugal were analyzed and compared to the current state of the gravity-fed surface irrigation systems with hypothetical future improvements achievable by innovative technologies and practices. In these different case studies, the current gravity-fed surface irrigation systems have an obsolete regulatory structure; water-use efficiency is not a driving criterion for the management of the conveyance and distribution canal network, and farmers are not yet adequately encouraged to adopt more efficient gravity-fed irrigation practices. A continuous knowledge exchange is thus necessary for the interaction of all irrigation water managers and farmers to improve their eco-efficiency and to preserve and promote their cultural heritage across the entire water supply and delivery chains. We argue that the best way forward will require precisely targeted rehabilitation measures of gravity-fed surface irrigation systems based on the integrated use of decision support services, gate automation, remote and feedback controls and real-time flow optimization.",maybe,0.65,irrigation modernization
33,Microbial services and their management: Recent progresses in soil bioremediation technology et al.,Guimaraes,2010,"There is an increasing interest in soils and sediments because their vital importance for the survival of the planet has become apparent. They assure a multitude of services such as removal of various gases from the atmosphere (methane, carbon monoxide, ...), filtering of water, removal of pathogens, degradation of organics, recycling of nutrients, .... All these processes represent an economic value, which is estimated to be about the double of the gross annual product. Yet, numerous sites (estimated at more than a quarter million in the EU alone) are polluted and need to be cleaned up. Soil biotechnology plays an ever-increasing role in this. The reason why engineers need to enhance or induce natural processes and the ways they can do this, are reviewed. Furthermore, those soil services which are of vital importance are evaluated. To understand the underlying ecological mechanisms during soil remediation, a pragmatic approach using molecular tools is proposed. Subsequently, a series of new biotechnologies for soils is examined. Also putative new dangers for soils are scouted for. Moreover a set of paradigms currently implemented in the field of soil governance is critically examined. Finally a short list of future market potentials in soil biotech is presented. Overall, it is concluded that soil biotech, driven by the economic value of the services rendered by high quality soils, is currently in a phase of extensive growth. (C) 2010 Elsevier B.V. All rights reserved.",maybe,0.75,soil biotechnology
34,Linking cropland ecosystem services to microbiome taxonomic composition and functional composition in a sandy loam soil with 28-year organic and inorganic fertilizer regimes et al.,Chen,2019,"The ability of soil microorganisms to uphold a variety of ecosystem services is of increasing interest, but our understanding of the linkage between cropland ecosystem services and the soil microbiome under long-term different fertilizer regimes is still limited. Here, we measured 15 response variables commonly used as indicators of cropland ecosystem services, and employed a shotgun metagenomic sequencing technology to determine microbiome taxonomic composition and functional composition in a sandy loam soil amended with organic and inorganic fertilizers for 28 years. Long-term application of fertilizers had overall positive effects on the variables that indicate soil C and nutrient status, organic material decomposition, nutrient transformation, and plant productivity, but the strength of these effects differed between organic and inorganic fertilization. In long term, organic fertilizers significantly increased the abundance of Sphingomonas and Acidobacteria as well as genes involved in C and N metabolism and degradation of aromatic organic compounds. The observed differences in the indicators of overall biological activity, litter decomposition, nutrient transformation, cropland fertility and productivity were associated with changes in taxonomic composition and functional composition of the soil microbiome. Network analysis revealed that soil organic C, total N, L-leucine aminopeptidase, phosphatase, microbial biomass C and N, and the multifunctionality index showed strong positive associations with Acidobacterium, Lysobacter and Nitrososphaera. These microbes are implicated in the decomposition of organic material, soil C and N transformation, and plant growth promotion. The present study deepens our understanding of the relationship between the soil microbiome and agro-ecosystem functioning, and provides support for the use of organic fertilization strategy to enhance multiple ecosystem services in croplands.",maybe,0.70,soil microbiome
35,Milled cereal straw accelerates earthworm (Lumbricus terrestris) growth more than selected organic amendments et al.,Sizmur,2017,"Earthworms benefit agriculture by providing several ecosystem services. Therefore, strategies to increase earthworm abundance and activity in agricultural soils should be identified, and encouraged. Lumbricus terrestris earthworms primarily feed on organic inputs to soils but it is not known which organic amendments are the most effective for increasing earthworm populations. We conducted earthworm surveys in the field and carried out experiments in single-earthworm microcosms to determine the optimum food source for increasing earthworm biomass using a selection of crop residues and organic wastes available to agriculture. We found that although farmyard manure increased earthworm populations more than cereal straw in the field, straw increased earthworm biomass more than manures when milled and applied to microcosms. Earthworm growth rates were positively correlated with the calorific value of the amendment and straw had a much higher calorific value than farmyard manure, greenwaste compost, or anaerobic digestate. Reducing the particle size of straw by milling to <3 mm made the energy in the straw more accessible to earthworms. The benefits and barriers to applying milled straw to arable soils in the field are discussed. (C) 2017 The Authors. Published by Elsevier B.V.",maybe,0.75,earthworm enhancement
36,Co-cropping with three phytoremediation crops influences rhizosphere microbiome community in contaminated soil et al.,Brereton,2020,"Human industrial activities have left millions of hectares of land polluted with trace element metals and persistent organic pollutants (POPs) around the world. Although contaminated sites are environmentally damaging, high economic costs often discourage soil remediation efforts. Phytoremediation is a potential green technology solution but can be challenging due to the diversity of anthropogenic contaminants. Co-cropping could provide improved tolerance to diverse soil challenges by taking advantage of distinct crop capabilities. Co-cropping of three species with potentially complementary functions, Festuca arundinacea, Salix miyabeana and Medicago sativa, perform well on diversely contaminated soils. Here, rhizosphere microbiomes of each crop in monoculture and in all co-cropping combinations were compared using 16S rRNA gene amplification, sequencing and differential abundance analysis. The hyperaccumulating F. arundinacea rhizosphere microbiome included putative plant growth promoting bacteria (PGPB) and metal tolerance species, such as Rhizorhapis suberifaciens, Cellvibrio fibrivorans and Pseudomonas lini. The rhizosphere microbiome of the fast-growing tree S. miyabeana included diverse taxa involved in POP degradation, including the species Phenylobacterium panacis. The well-characterised nitrogen-fixing M. sativa microbiome species, Sinorhizobium meliloti, was identified alongside others involved in nutrient acquisition and putative yet-to-be-cultured Candidatus saccharibacteria (TM7-1 group). The majority of differentially abundant rhizosphere-associated bacterial species were maintained in cocropping pairs, with pairs having higher numbers of differentially abundant taxa than monocultures in all cases. This was not the case when all three crops were co-cropped, where most host-specific bacterial species were not detected as differentially abundant, indicating the potential for reduced rhizosphere functionality. The crops cultivated in pairs here retained rhizosphere microbiome bacteria involved in these monoculture ecosystem services of plant growth promotion, POP tolerance and degradation, and improved nutrient acquisition. These findings provide a promising outlook of the potential for complementary co-cropping strategies for phytoremediation of the multifaceted anthropogenic pollution which can disastrously affect soils around the world. (C) 2019 Elsevier B.V. All rights reserved.",maybe,0.75,phytoremediation
37,Quantifying Root-Soil Interactions in Cover Crop Systems: A Review et al.,Ogilvie,2021,"Plant roots are an integral part of soil ecosystems and contribute to various services, including carbon and nutrient cycling, weathering, and soil formation. They also modify soil physical properties (e.g., soil water content, pore size distribution, and bulk density) and impact subsequent crops' growth. Cover crops have been reported to improve soil and environmental quality by reducing nutrient losses, improving soil water content, and increasing soil organic matter. Understanding the complex interactions between cover crop roots and soil (RS) is of utmost importance. However, cover crop RS interactions have not been critically reviewed. In this article, we investigated the nature of cover crop physical RS interactions and explored the emerging technologies for their study. We also assessed technologies that may be readily applied to the study of physical RS interactions in cover crop systems and discussed ways to improve related research in the future.",maybe,0.75,cover crop-soil interactions
38,"Ecosystem Integrity Index, an innovative environmental evaluation tool for agricultural production systems et al.",Blumetto,2019,"Environmental assessment of agricultural production systems is an increasing concern within the international community. When evaluation involves biodiversity indicators, as richness or diversity in certain taxa or their roles in ecosystems, the participation of specialists is required to identify, classify and interpret diversity at the level of species, communities and ecosystems. Due to costs and time demand, this can be an important obstacle when a widespread use of these assessments is needed to contribute to policy making and evaluation, field management decision-making or implementation of a specific technology. We developed a new index that combines different environmental characteristics which can be evaluated qualitatively and quantitatively with a basic training, can be implemented quickly and each index component is directly associated with key aspects for the assessment of ecosystem capacity to sustain wildlife and ecosystem services. The Ecosystem Integrity Index (EII) evaluates the status of a specific ecosystem under agricultural use, referred to an optimal condition that must be established for the ecoregion. Its application involves a qualitative and quantitative visual evaluation considering four components: vegetation structure, plant species, soil and riparian areas. Each component is valued on a 0-5 scale, where 5 is the best possible condition. EII is a simple and robust tool for evaluating and monitoring integrity of agroecosystems and the primary validation demonstrates good correlation with other environmental variables such as wildlife diversity and soil organic carbon.",maybe,0.65,ecosystem integrity index
40,"Nature Based Solutions for Urban Resilience: A Distinction Between No-Tech, Low-Tech and High-Tech Solutions et al.",Snep,2020,"Urbanization and extreme weather require smarter urban water management. Nature-based solutions (NBS) like vegetated roofs and city trees can contribute effectively to climate resilience and future proof urban water management. However, large scale implementation is limited due to a lack of knowledge among professionals on how to capture, store, and reuse water on-site. In this paper we advocate a classification into no-tech, low-tech, and high-tech green, thereby supporting urban designers to better utilize the ability of these green elements to effectively manage water flows in different urban settings. Here, no tech green is considered traditional urban green, handling (rain) water like nature would. Low-tech green (e.g., extensive Sedum roofs) are suitable for dense urban settings with limited demand for water management and ecosystem services. More developed high-tech green solutions have vegetation performing even beyond natural capacities, offering full water management control options and enable city planners, architects and landscape designers to enhance urban resilience and circularity without claiming valuable urban space. We elaborate our tech NBS approach for city trees and vegetated roofs thereby demonstrating the classification's added value for sustainable urban design. We conclude that specifying the demanded no/low/high -tech level of green infrastructure in urban design plans will help to yield the most of ecosystem services using appropriate levels of available technology.",maybe,0.65,urban water management
42,The research priorities of Resources and Environmental Sciences et al.,Fu,2021,"The great challenges of sustainable development highlight an urgent need to systematically understand the mechanisms linking humans and nature. Resources and Environmental Sciences are a broad and practical discipline focused on coupled human and natural systems. They aim to study the formation and evolution of resources in the earth system, the drivers of various environmental problems, processes and relationships between resources and the environment, particularly under the combined impacts of natural conditions and human activities. The major resources and environmental problems drive the discipline development; international science programmes guide the direction of the discipline; interdisciplinary and transdisciplinary integration promotes new branches of the discipline; and technological progress results in a research paradigm shift. Facing the critical research requirements of strengthening trans-and interdisciplinarity, breaking through the key technology, targeting major environmental and disaster issues, and supporting sustainable development, nine critical scientific issues should be focused on climate change impact and adaptation, petroleum and mineral resources, water cycle and water resources, soil and land resources, ecosystems, remote sensing and geographic information science, environmental science and technology, disaster risk, and global and regional sustainable development. Suggestions to enhancing funding systems, improve talent cultivation, develop scientific platforms, and strength international cooperation are provided in this study to support scientific policymaking. The promotion of Resources and Environmental Sciences enables a more comprehensive and in-depth understanding of economic development and environmental changes relevant to assure a more sustainable global development.",maybe,0.65,sustainable development
44,Farming strategies to fuel bioenergy demands and facilitate essential soil services et al.,Franzluebbers,2015,"Perennial lignocellulosic biomass and food crop residues have traditionally been important resources used internally on-farm. However given the growing outlook with advanced biofuel conversion technologies, such biomass sources might be of competing greater value if sold off the farm into the bioenergy feedstock stream. Inputs of carbon embedded in above-ground plant biomass are a key biological energy source for the soil surface a zone of great importance in the success of food-feed-fiber production and ecological processes essential to environmental quality. This review of literature looks at how above-ground plant biomass contributes to soil properties and processes, water conservation and quality, on-farm forage availability, and as a harvestable biofuel component. Competing needs for this resource could cause serious environmental or economic consequences without sufficient knowledge of their potential impacts. Perennial forages and crop residues are critical for providing surface cover to protect soils against erosion and for providing the organic inputs to support below-ground ecosystem communities, properties, and processes. The amount of biomass required to maintain soil organic matter and various ecosystem services linked to this key soil property may, in many cases, exceed that needed for simple erosion control. Consequences of continuous residue harvest could be detrimental or minor, depending on the climatic and edaphic conditions, as well the type of cropping system and tillage management employed. Achieving a balanced outcome will require scientific evidence of in-field effects, a collective vision for designing landscapes of appropriate functional capacity, and well-designed government policies for crop residue and perennial biomass utilization schemes to contribute to a sustainable agricultural approach. Published by Elsevier B.V.",maybe,0.75,biomass impact on soil quality
45,"Form, function and physics: the ecology of biogenic stabilisation et al.",Paterson,2018,"Purpose The objective of this work is to better understand the role that biological mediation plays in the behaviour of fine sediments. This research is supported by developments in ecological theory recognising organisms as ecosystem engineers and associated discussion of niche construction, suggesting an evolutionary role for habitat modification by biological action. In addition, there is acknowledgement from engineering disciplines that something is missing from fine sediment transport predictions.Materials and methods Advances in technology continue to improve our ability to examine the small-scale 2D processes with large-scale effects in natural environments. Advanced molecular tools can be combined with state-of-the-art field and laboratory techniques to allow the discrimination of microbial biodiversity and the examination of their metabolic contribution to ecosystem function. This in turn can be related to highly resolved measurements and visualisation of flow dynamics.Results and discussion Recent laboratory and field work have led to a paradigm shift whereby hydraulic research has to embrace biology and biogeochemistry to unravel the highly complex issues around on fine sediment dynamics. Examples are provided illustrating traditional and more recent approaches including using multiple stressors in fully factorial designs in both the laboratory and the field to highlight the complexity of the interaction between biology and sediment dynamics in time and space. The next phase is likely to rely on advances in molecular analysis, metagenomics and metabolomics, to assess the functional role of microbial assemblages in sediment behaviour, including the nature and rate of polymer production by bacteria, the mechanism of their influence on sediment behaviour.Conclusions To fully understand how aquatic habitats will adjust to environmental change and to support the provision of various ecosystem services, we require a holistic approach. We must consider all aspects that control the distribution of sediment and the erosion-transport-deposition-consolidation cycle including biological and chemical processes, not just the physical. In particular, the role of microbial assemblages is now recognised as a significant factor deserving greater attention across disciplines.",maybe,0.7,microbial influence on sediment dynamics
46,Wastewater treatment valorisation by simultaneously removing and recovering phosphate and ammonia from municipal effluents using a mechano-thermo activated magnesite technology et al.,Mavhungu,2019,"Phosphate and nitrate enrichment largely impair aquatic ecosystem functions and services, thus comprising an emerging problem of environmental concern. The problem pertains to developing countries where their discharge to surface water is on the rise due to a rapid growth in population. Herein, these pollutants (phosphate and ammonia) were removed from real municipal wastewater using a simple, fast, and cost-effective process. Raw cryptocrystalline magnesite, a mineral abundant in South Africa, was simply milled and calcined (mechanothermo processing) in order to produce the activated magnesite (feed). The feed was then used in batch processing for pollutants adsorption and precipitation from real wastewater. The process was optimised by varying the treatment or contact time, feed dosage, concentration, pH, and temperature. The feed and product mineral (produced sludge) were characterised using X-ray Diffraction (XRD), field emission scanning electron microscopy (FESEM) compatible with energy dispersive spectroscopy (EDS), and Fourier Transform Infrared Spectrometer (FTIR). It was identified that the optimal conditions differed for each pollutant, highlighting the importance of tailoring the process to fit the local wastewater characteristics and as part of a treatment train system. Specifically, maximum P removal was achieved after 5 min of mixing, using 1 g L-1 of feed, 123 mg L-1 initial phosphate concentration, pH 8 - 10, and was not affected by temperature variations; whereas, for ammonia removal, optimal conditions were 180 min, 16 g L-1 feed dosage, 80 mg L-2 initial concentration, pH 10 and temperature > 45 degrees C. The optimal conditions for the removal of both pollutants from real wastewater were 30 min, 6 g L-1 dosage, and ambient temperature and pH. Furthermore, Mg and Ca concentration was found to influence the process. Reduction in total dissolved solids (TDS) and electrical conductivity (EC) suggest an attenuation of chemical species. Characterisation revealed that the product mineral obtained under the optimal conditions for pollutants removal is rich in quartz, periclase, brucite, calcite, magnesite, and struvite. This was further supported by the FTIR results, which indicated the presence of Mg-O, Po-4(3-), N-H and OH stretches. In addition, the EDS verified the presence of Mg, Ca and P in product mineral. Results are suggestive of the high efficiency of the mechano-thermo activated magnesite treatment process for phosphate and ammonia removal and struvite crystallization. Thus, this technology could valorise municipal wastewater effluents and open new horizons for the effective and sustainable management of wastewater effluents, since struvite can replace the mined phosphate fertilizers, which are rapidly depleting, in the agriculture industry.",maybe,0.75,wastewater treatment
47,"Assessing the variable ecosystem services relationships in polders over time: a case study in the eastern Chaohu Lake Basin, China et al.",Zhang,2016,"Land use changes can isolate habitat patches, thereby aggravating the fragmentation of these units and altering natural ecological processes. Thus, it is necessary to analyze the responses of ecosystem services to changes in land use over time. Polders, a typical floodplain landscape in the Chaohu Lake Basin, were selected as the study area to evaluate how ecosystem services respond to changes in both land use and patch size over time. Multiple approaches, including remote sensing, geographical information system and correspondence analysis, were used. The results showed that the total ecosystem services were increased from 9.97 x 10(8) to 1.02 x 10(9) Yuan for all polders. Based on a correspondence analysis, recreation and culture, water supply and waste treatment are the ecosystem services that depend on water bodies, whereas six other types of ecosystem services (biodiversity protection, climate regulation, food production, raw material, soil formation and protection and gas regulation) depend on soil. Therefore, there are trade-offs between the ecosystem services provided by farmlands and those provided by water bodies, between supporting and provisioning services and cultural services in the polders, and between provisioning services and most regulating services. Furthermore, trade-offs and synergies were detected among regulating services. In this study, the relationships between patch sizes and ecosystem services were significantly changed during the 1985-2007 period, particularly from 2000 to 2007. The area variation of special land use can drive changes in these relationships. Notably, correspondence analysis can be used as a method to analyze synergies and trade-offs among multiple ecosystem services.",maybe,0.65,ecosystem services analysis
50,Balkanized Research in Ecological Engineering Revealed by a Bibliometric Analysis of Earthworms and Ecosystem Services et al.,Blouin,2013,"Energy crisis, climate changes, and biodiversity losses have reinforced the drive for more ecologically-based approaches for environmental management. Such approaches are characterized by the use of organisms rather than energy-consuming technologies. Although earthworms are believed to be potentially useful organisms for managing ecosystem services, there is actually no quantification of such a trend in literature. This bibliometric analysis aimed to measure the evolution of the association of earthworms and other terms such as ecosystem services (primary production, nutrient cycling, carbon sequestration, soil structure, and pollution remediation), ecological engineering or biodiversity, to assess their convergence or divergence through time. In this aim, we calculated the similarity index, an indicator of the paradigmatic proximity defined in applied epistemology, for each year between 1900 and 2009. We documented the scientific fields and the geographical origins of the studies, as well as the land uses, and compare these characteristics with a 25 years old review on earthworm management. The association of earthworm related keywords with ecosystem services related keywords was increasing with time, reflecting the growing interest in earthworm use in biodiversity and ecosystem services management. Conversely, no significant increase in the association between earthworms and disciplines such as ecological engineering or restoration ecology was observed. This demonstrated that general ecologically-based approaches have yet to emerge and that there is little exchange of knowledge, methods or concepts among balkanized application realms. Nevertheless, there is a strong need for crossing the frontiers between fields of application and for developing an umbrella discipline to provide a framework for the use of organisms to manage ecosystem services.",maybe,0.75,earthworms
51,Vegetation persistence and carbon storage: Implications for environmental water management for Phragmites australis et al.,Whitaker,2015,"Environmental water allocations are used to improve the ecological health of wetlands. There is now increasing demand for allocations to improve ecosystem productivity and respiration, and enhance carbon sequestration. Despite global recognition of wetlands as carbon sinks, information regarding carbon dynamics is lacking. This is the first study estimating carbon sequestration for semiarid Phragmites australis reedbeds. The study combined aboveground biomass assessments with stable isotope analyses of soils and modeling of biomass using Normalized Digital Vegetation Index (NDVI) to investigate the capacity of environmental water allocations to improve carbon storage. The study considered relationships between soil organic carbon (SOC), carbon sources, and reedbed persistence in the Macquarie Marshes, a regulated semiarid floodplain of the Murray-Darling Basin, Australia. SOC storage levels to 1 m soil depth were higher in persistent reedbeds (167 Mg ha(-1)) than ephemeral reedbeds (116-138 Mg ha(-1)). In situ P. australis was the predominant source of surface SOC at persistent reedbeds; mixed sources of surface SOC were proposed for ephemeral reedbeds. C-13 enrichment with increasing soil depth occurred in persistent and ephemeral reedbeds and may not relate to flow characteristics. Despite high SOC at persistent reedbeds, differences in the rate of accretion contributed to significantly higher rates of carbon sequestration at ephemeral reedbeds (approximately 554 and 465 g m(-2) yr(-1)) compared to persistent reedbeds (5.17 g m(-2) yr(-1)). However, under current water regimes, rapid accretion at ephemeral reedbeds cannot be maintained. Effective management of persistent P. australis reedbeds may enhance carbon sequestration in the Macquarie Marshes and floodplain wetlands more generally.",maybe,0.7,carbon sequestration
